GR_NO,c1,c2,c3,c4,c5,c6,c7,C8,C9
2405,1,1,0,0,0,0,1,0,0
2406,0,0,0,0,0,0,0,0,0
2407,1,0,0,0,0,0,1,0,0
2408,0,0,0,0,0,0,0,0,0
2409,1,1,0,0,0,0,1,0,0
2410,1,1,0,0,0,0,1,0,0
2411,1,0,0,0,0,0,1,0,0
2412,1,1,1,1,0,0,1,0,0
2413,1,0,0,0,0,0,1,0,0
2414,1,0,0,0,0,0,1,0,0
2415,1,0,0,0,0,0,1,0,0
2416,1,1,1,1,0,0,1,0,0
2417,1,1,0,0,0,0,1,0,0
2418,1,1,0,0,0,0,1,0,0
2419,1,1,0,0,0,0,1,0,0
2420,1,1,0,0,0,0,1,0,0
2421,1,1,0,0,0,0,1,0,0
2422,0,0,0,0,0,0,0,0,0
2423,1,1,0,0,0,0,1,0,0
2424,1,1,0,0,0,0,1,0,0
2426,1,0,0,0,0,0,1,0,0
2427,1,1,1,1,0,0,1,0,0
2429,1,0,0,0,0,0,1,0,0
2430,1,1,0,0,0,0,1,0,0
2431,1,0,0,0,0,0,1,0,0
2432,1,0,0,0,0,0,1,0,0
2433,1,0,0,0,0,0,1,0,0
2434,1,1,1,1,0,0,1,0,0
2435,1,0,0,0,0,0,1,0,0
2436,1,0,0,0,0,0,1,0,0
2437,1,0,0,0,0,0,1,0,0
2438,1,1,0,0,0,0,1,0,0
2439,1,0,0,0,0,0,1,0,0
2441,1,1,0,0,0,0,1,0,0
2443,0,0,0,0,0,0,0,0,0
2444,1,0,0,0,0,0,1,0,0
2445,1,1,0,0,0,0,1,0,0
2446,1,1,1,1,0,0,1,0,0
2447,1,0,0,0,0,0,1,0,0
2448,1,1,0,0,0,0,1,0,0
2450,1,0,0,0,0,0,1,0,0
2451,1,0,0,0,0,0,1,0,0
2452,1,1,0,0,0,0,1,0,0
2453,1,0,0,0,0,0,1,0,0
2454,1,1,1,1,0,0,1,0,0
2458,0,0,0,0,0,0,0,0,0
2460,1,0,0,0,0,0,1,0,0
2462,1,1,0,0,0,0,1,0,0
2463,1,1,1,1,0,0,1,0,0
2464,1,1,0,0,0,0,1,0,0
2465,0,0,0,0,0,0,0,0,0
2468,1,0,0,0,0,0,1,0,0
2469,1,1,0,0,0,0,1,0,0
2470,0,0,0,0,0,0,0,0,0
2471,1,0,0,0,0,0,1,0,0
2472,1,0,0,0,0,0,1,0,0
2475,1,1,0,0,0,0,1,0,0
2477,1,1,0,0,0,0,1,0,0
2478,1,1,0,0,0,0,1,0,0
2479,1,0,0,0,0,0,1,0,0
2480,1,0,0,0,0,0,1,0,0
2481,1,1,1,1,0,0,1,0,0
2482,1,1,0,0,0,0,1,0,0
2484,1,1,1,1,0,0,1,0,0
2486,1,0,0,0,0,0,1,0,0
2487,1,0,0,0,0,0,1,0,0
2488,1,0,0,0,0,0,1,0,0
2489,1,1,1,1,0,0,1,0,0
2490,1,0,0,0,0,0,1,0,0
2491,1,0,0,0,0,0,1,0,0
2492,1,1,0,0,0,0,1,0,0
2495,1,1,0,0,0,0,1,0,0
2496,1,0,0,0,0,0,1,0,0
2497,0,0,0,0,0,0,0,0,0
2499,1,1,0,0,1,0,1,0,0
2500,1,1,0,0,1,0,1,0,0
2515,1,1,0,0,0,0,1,0,0
2516,1,1,0,0,0,0,1,0,0
2518,1,0,0,0,0,0,1,0,0
2520,1,1,0,0,1,0,1,0,0
2521,0,0,0,0,0,0,0,0,0
2522,1,1,1,1,0,0,1,0,0
2524,1,0,0,0,0,0,1,0,0
2525,1,1,0,0,0,0,1,0,0
2526,1,1,0,0,0,0,1,0,0
2530,1,1,0,0,0,0,1,0,0
2531,1,1,0,0,0,0,1,0,0
2542,1,1,1,1,0,0,1,0,0
2554,1,0,0,0,0,0,1,0,0
2559,1,1,0,0,1,0,1,0,0
2565,1,0,0,0,0,0,1,0,0
2568,1,1,1,1,0,0,1,0,0
2574,1,1,1,1,0,0,1,0,0
2591,1,1,0,0,0,0,1,0,0
2592,1,1,1,1,0,0,1,0,0
2602,0,0,0,0,0,0,0,0,0
2604,1,1,1,1,0,0,1,0,0
2605,1,1,0,0,0,0,1,0,0
2606,1,0,0,0,0,0,1,0,0
2608,0,0,0,0,0,0,0,0,0
2609,0,0,0,0,0,0,0,0,0
2610,1,1,0,0,0,0,1,0,0
2611,1,1,1,1,0,0,1,0,0
2612,1,1,0,0,0,0,1,0,0
2613,0,0,0,0,0,0,0,0,0
2614,1,1,0,0,0,0,1,0,0
2615,1,0,0,0,0,0,1,0,0
2616,1,1,0,0,0,0,1,0,0
2617,1,1,1,1,0,0,1,0,0
2619,1,0,0,0,0,0,1,0,0
2620,1,1,0,0,0,0,1,0,0
2621,1,1,1,1,0,0,1,0,0
2622,1,1,1,1,0,0,1,0,0
2624,1,1,0,0,0,0,1,0,0
2625,1,0,0,0,0,0,1,0,0
2627,1,1,1,1,0,0,1,0,0
2629,1,1,1,1,0,0,1,0,0
2630,1,1,1,1,0,0,1,0,0
2631,1,0,0,0,0,0,1,0,0
2634,1,0,0,0,0,0,1,0,0
2636,1,1,0,0,0,0,1,0,0
2637,1,0,0,0,0,0,1,0,0
2638,0,0,0,0,0,0,0,0,0
2640,1,1,1,1,0,0,1,0,0
2641,1,1,0,0,0,0,1,0,0
2642,1,1,0,0,0,0,1,0,0
2643,1,1,1,1,0,0,1,0,0
2644,1,1,0,0,0,0,1,0,0
2645,1,1,0,0,0,0,1,0,0
2646,1,1,1,1,0,0,1,0,0
2647,1,0,0,0,0,0,1,0,0
2648,1,1,0,0,0,0,1,0,0
2649,1,1,0,0,0,0,1,0,0
2650,1,0,0,0,0,0,1,0,0
2651,1,0,0,0,0,0,1,0,0
2652,1,0,0,0,0,0,1,0,0
2653,1,1,0,0,0,0,1,0,0
2654,1,1,1,1,0,0,1,0,0
2655,1,0,0,0,0,0,1,0,0
2656,1,0,0,0,0,0,1,0,0
2657,1,0,0,0,0,0,1,0,0
2658,1,1,0,0,0,0,1,0,0
2659,1,1,1,1,0,0,1,0,0
2660,1,1,1,1,0,0,1,0,0
2664,1,1,0,0,0,0,1,0,0
2665,1,1,1,1,0,0,1,0,0
2666,1,0,0,0,0,0,1,0,0
2668,1,0,0,0,0,0,1,0,0
2669,1,0,0,0,0,0,1,0,0
2670,1,1,0,0,0,0,1,0,0
2671,1,0,0,0,0,0,1,0,0
2672,1,0,0,0,0,0,1,0,0
2673,1,1,0,0,0,0,1,0,0
2674,1,0,0,0,0,0,1,0,0
2676,0,0,0,0,0,0,0,0,0
2678,1,0,0,0,0,0,1,0,0
2679,1,0,0,0,0,0,1,0,0
2680,1,1,0,0,0,0,1,0,0
2682,1,0,0,0,0,0,1,0,0
2683,1,1,0,0,0,0,1,0,0
2684,1,0,0,0,0,0,1,0,0
2685,1,0,0,0,0,0,1,0,0
2687,0,0,0,0,0,0,0,0,0
2688,1,0,0,0,0,0,1,0,0
2689,1,1,1,1,0,0,1,0,0
2690,1,1,0,0,0,0,1,0,0
2691,1,1,0,0,0,0,1,0,0
2692,1,1,0,0,0,0,1,0,0
2693,1,0,0,0,0,0,1,0,0
2694,0,0,0,0,0,0,0,0,0
2695,1,1,1,1,0,0,1,0,0
2697,1,1,0,0,0,0,1,0,0
2699,1,1,0,0,0,0,1,0,0
2701,1,0,0,0,0,0,1,0,0
2702,1,0,0,0,0,0,1,0,0
2703,1,0,0,0,0,0,1,0,0
2704,1,0,0,0,0,0,1,0,0
2706,1,0,0,0,0,0,1,0,0
2707,1,0,0,0,0,0,1,0,0
2708,1,1,0,0,0,0,1,0,0
2711,1,1,0,0,0,0,1,0,0
2712,1,0,0,0,0,0,1,0,0
2714,1,1,1,1,0,0,1,0,0
2716,1,1,1,1,0,0,1,0,0
2717,1,1,0,0,0,0,1,0,0
2719,1,0,0,0,0,0,1,0,0
2720,1,0,0,0,0,0,1,0,0
2721,1,1,1,1,0,0,1,0,0
2722,1,0,0,0,0,0,1,0,0
2723,1,0,0,0,0,0,1,0,0
2726,1,1,0,0,0,0,1,0,0
2727,1,1,0,0,0,0,1,0,0
2729,1,1,0,0,0,0,1,0,0
2730,1,1,1,1,0,0,1,0,0
2731,1,0,0,0,0,0,1,0,0
2732,1,1,0,0,0,0,1,0,0
2734,1,1,0,0,0,0,1,0,0
2735,1,1,0,0,0,0,1,0,0
2736,0,0,0,0,0,0,0,0,0
2737,1,1,0,0,0,0,1,0,0
2739,1,1,0,0,0,0,1,0,0
2741,1,1,0,0,1,0,1,0,0
2744,1,1,1,1,0,0,1,0,0
2745,1,0,0,0,0,0,1,0,0
2749,1,1,0,0,1,0,1,0,0
2752,1,0,0,0,0,0,1,0,0
2753,1,1,0,0,0,0,1,0,0
2756,1,0,0,0,0,0,1,0,0
2757,1,0,0,0,0,0,1,0,0
2758,1,1,0,0,0,0,1,0,0
2761,1,1,0,0,0,0,1,0,0
2764,1,1,0,0,0,0,1,0,0
2766,1,0,0,0,0,0,1,0,0
2767,0,0,0,0,0,0,0,0,0
2768,1,0,0,0,0,0,1,0,0
2769,1,0,0,0,0,0,1,0,0
2771,1,1,0,0,0,0,1,0,0
2775,1,1,0,0,0,0,1,0,0
2777,1,0,0,0,0,0,1,0,0
2786,1,1,0,0,1,0,1,0,0
2787,1,1,0,0,0,0,1,0,0
2794,1,1,1,1,0,0,1,0,0
2796,1,1,0,0,0,0,1,0,0
2797,1,1,0,0,0,0,1,0,0
