GR_NO,c1,c2,c3,c4,c5,c6,c7,C8,C9
2391,447200300786 (15/4/24), , , , , ,447200300786 (15/4/24), , 
2392,113751,113751, , , , ,113751, , 
2393,032989,032989,032989,032989, , ,032989, , 
2394,000082,000082,000082,000082, , ,000082, , 
2395,408249596795,408249596795, , , , ,408249596795, , 
2396,120195, , , , , ,120195, , 
2397,223240, , , , , ,223240, , 
2398,408345052436,408345052436, , , , ,408345052436, , 
2399,000283, , , , , ,000283, , 
2400,291469,291469,291469,291469, , ,291469, , 
2401,409319377049,409319377049,409319377049,409319377049, , ,409319377049, , 
2402,440210,440210, , , , ,440210, , 
2403,408218764173,408218764173, , , , ,408218764173, , 
2404,411711083974, , , , , ,411711083974, , 
2405,410690146075,410690146075, , , , ,410690146075, , 
2406, , , , , , , , , 
2407,412254204484, , , , , ,412254204484, , 
2408, , , , , , , , , 
2409,408252357505,408252357505, , , , ,408252357505, , 
2410,433853,433853, , , , ,433853, , 
2411,409754118199, , , , , ,409754118199, , 
2412,000106,000106,000106,000106, , ,000106, , 
2413,000023, , , , , ,000023, , 
2414,410756608178, , , , , ,410756608178, , 
2415,002016, , , , , ,002016, , 
2416,195713,195713,195713,195713, , ,195713, , 
2417,387547,387547, , , , ,387547, , 
2418,410499060549,410499060549, , , , ,410499060549, , 
2419,328906,328906, , , , ,328906, , 
2420,002999,002999, , , , ,002999, , 
2421,001289,001289, , , , ,001289, , 
2422, , , , , , , , , 
2423,000011,000011, , , , ,000011, , 
2424,000018,000018, , , , ,000018, , 
2426,410037840814, , , , , ,410037840814, , 
2427,000043,000047,000047,000047, , ,000043, , 
2429,000093, , , , , ,000093, , 
2430,416056786635,416056786635, , , , ,416056786635, , 
2431,408258375704, , , , , ,408258375704, , 
2432,410510340130, , , , , ,410510340130, , 
2433,408204735060, , , , , ,408204735060, , 
2434,000232,000232,000232,000232, , ,000232, , 
2435,000103, , , , , ,000103, , 
2436,410415959445, , , , , ,410415959445, , 
2437,083047, , , , , ,083047, , 
2438,620411,620411, , , , ,620411, , 
2439,410335271298, , , , , ,410335271298, , 
2441,000060,000060, , , , ,000060, , 
2442, , , , , , , , , 
2443, , , , , , , , , 
2444,000381, , , , , ,000381, , 
2445,995627,995627, , , , ,995627, , 
2446,000237,000237,000237,000237, , ,000237, , 
2447,447307562610 (16/4/24), , , , , ,447307562610 (16/4/24), , 
2448,028804,028804, , , , ,028804, , 
2450,UPI=410696799095=13750 (15/4/24)+UPI=411372751393=600 (22/4/24), , , , , ,UPI=410696799095=13750 (15/4/24)+UPI=411372751393=600 (22/4/24), , 
2451,UPI=410696799095=13750 (15/4/24)+UPI=411372751393=600 (22/4/24), , , , , ,UPI=410696799095=13750 (15/4/24)+UPI=411372751393=600 (22/4/24), , 
2452,324689,324689, , , , ,324689, , 
2453,000220, , , , , ,000220, , 
2454,410617621876,410617621876,410617621876,410617621876, , ,410617621876, , 
2455, , , , , , , , , 
2457, , , , , , , , , 
2458, , , , , , , , , 
2460,086435, , , , , ,086435, , 
2461, , , , , , , , , 
2462,000188,000188, , , , ,000188, , 
2463,000064,000064,000064,000064, , ,000064, , 
2464,410313950700 (12/4/24),410313950700 (12/4/24), , , , ,410313950700 (12/4/24), , 
2465, , , , , , , , , 
2468,060065, , , , , ,060065, , 
2469,219559,219559, , , , ,219559, , 
2470, , , , , , , , , 
2471,951835, , , , , ,951835, , 
2472,410655517400, , , , , ,410655517400, , 
2475,000024,000024, , , , ,000024, , 
2477,733615,733615, , , , ,733615, , 
2478,000040,000040, , , , ,000040, , 
2479,444244, , , , , ,444244, , 
